name,city,state,country,position,type,designation,images,website,description,radius
Newport State Park,Door,Wisconsin,United States,"[-86.994167,  45.235]",Park,2017,{},https://dnr.wi.gov/topic/parks/name/newport/,,50000
Northumberland National Park ,,Northumberland,England,"[ -2.216667, 55.316667 ]",Park,2013,{},https://www.northumberlandnationalpark.org.uk/things-to-do/discover-dark-skies/,,50000
Kielder Water & Forest Park,,Northumberland,England,"[ -2.528, 55.208]",Park,2013,{},http://www.visitkielder.com/play/discover/dark-skies,,50000
Obed Wild and Scenic River,Cumberland County,Tennessee,United States,"[ -84.649444, 36.075278]",Park,2017,{},https://www.nps.gov/obed/learn/news/obed-wsr-recognized-as-international-dark-sky-place.htm,,50000
Oracle State Park,Pinal County,Arizona,United States,"[ -110.733056, 32.607778 ]",Park,2014,{},https://azstateparks.com/oracle/dark-skies/about-dark-skies,,50000
Petrified Forest National Park,Navajo County,Arizona,United States,"[-109.806389, 35.088056 ]",Park,2018,{},https://www.nps.gov/pefo/index.htm,,50000
Petrova gora-Biljeg,,Kordun,Croatia,"[15.806389,  45.241667]",Park,2019,{},http://www.naturaviva.hr/Karlovac_media/Brosura_Petrova_gora.pdf,,50000
Pickett CCC Memorial State Park & Pogue Creek Canyon State Natural Area,Pickett County,Tennessee,United States,"[ -84.79703, 36.55157 ]",Park,2015,{},https://tnstateparks.com/activities/dark-sky-viewing,,50000
Makhtesh Ramon,Negev,,Israel,"[ 34.817778, 30.578611]",Park,2017,{},https://www.parks.org.il/en/,,50000
Rappahannock County Park,Rappahannock County,Virginia,United States,"[ -78.17, 38.69 ]",Park,2019,{},https://rappahannockcountypark.weebly.com/dark-skies-park.html,,50000
Salinas Pueblo Missions National Monument,Torrance County,New Mexico,United States,"[-106.090278, 34.259722 ]",Park,2016,{},https://www.nps.gov/sapu/planyourvisit/stargazing.htm,,50000
South Llano River State Park,Junction,Texas,United States,"[-99.804102, 30.445396 ]",Park ,2017,{},https://tpwd.texas.gov/state-parks/south-llano-river/dark-skies,,50000
Staunton River State Park,Halifax,Virginia,United States,"[ -78.685278, 36.696056]",Park,2015,{},https://www.dcr.virginia.gov/state-parks/staunton-river,,50000
Steinaker State Park,Uintah County,Utah,United States,"[-109.530278,  40.5175]",Park,2018,{},https://stateparks.utah.gov/parks/steinaker/,,50000
Stephen C. Foster State Park,Charlton County,Georgia,United States,"[ -82.36419, 30.82371]",Park,2016,{},https://gastateparks.org/StephenCFoster,,50000
Tomintoul and Glenlivet - Cairngorms,,Cairngorms,Scotland,"[-3.666667,  57.083333]",Park,2018,{},https://darkskies.glenlivet-cairngorms.co.uk/,,50000
Tonto National Monument,Gila County,Arizona,United States,"[-111.094444, 33.656944 ]",Park,2019,{},https://www.nps.gov/tont/index.htm,,50000
Tumacácori National Historical Park,Santa Cruz County,Arizona,United States,"[-111.050646, 31.568147 ]",Park,2018,{},https://www.nps.gov/tuma/index.htm,,50000
UBarU Camp and Retreat Center,Gillespie County,Texas,United States,"[-99.274383, 30.188454 ]",Park,2015,{},https://ubaru.org/home,,50000
Vrani kamen,,Bjelovar-Bilogora,Croatia,"[ 17.223685, 45.592895 ]",Park,2019,{},http://www.visitdaruvar.hr/en/vrani-kamen-international-dark-sky-park.aspx,,50000
Warrumbungle National Park,Coonabarabran,New South Wales,Australia,"[ 149.0009, -31.3083 ]",Park,2016,{},https://www.nationalparks.nsw.gov.au/conservation-and-heritage/our-parks/dark-sky-parks,,50000
Glacier International Peace Park ,,Montana,United States,"[ -113.718333, 48.696667]",Park,2017,{},https://www.nps.gov/glac/planyourvisit/index.htm,,50000
Waterton Lakes National Park,,Alberta,Canada,"[-113.915278,  49.045833]",Park,2017,{},https://www.pc.gc.ca/en/pn-np/ab/waterton/activ/experiences/etoile-star,,50000
Weber County North Fork Park,Weber County,Utah,United States,"[-111.9073,  41.371]",Park,2015,{},http://www.webercountyutah.gov/Parks/North_Fork_Park/,,50000
Winklmoos-Alm,Seegatterl,,Germany,"[ 12.5799, 47.6576]",Park,2018,{},https://www.abenteuer-sterne.de/sternenpark-winklmoosalm/,,50000
Yeongyang Firefly Eco Park,Yeongyang-gun,Gyeongsangbuk-do,South Korea,"[ 129.27, 36.83 ]",Park,2015,{},http://www.yyg.go.kr/np,,50000
Zselic National Landscape Protection Area,Kaposvár,,Hungary,"[ 17.757789, 46.228349 ]",Park,2009,{},http://zselicicsillagpark.hu/en.php,,50000
Aoraki Mackenzie,,South Island,New Zealand,"[ 170.142139, -43.595056 ]",Reserve,2012,{},https://mackenzienz.com/scenic-highlights/dark-sky-reserve/,,50000
Brecon Beacons National Park,,,Wales,"[ -3.433333, 51.883333 ]",Reserve,2013,{},https://www.breconbeaconsparksociety.org/brecon-beacons-international-dark-sky-reserve/,,50000
Central Idaho,Blaine County,Idaho,United States,"[ -113.98 , 43.39]",Reserve,2017,{},https://idahodarksky.org/,,50000
Cévennes National Park,,Cévennes,France,"[ 3.581389, 44.193889 ]",Reserve,2018,{},https://www.cevennes-parcnational.fr/fr,,50000
Cranborne Chase AONB,,"Dorset, Hampshire and Wiltshire Counties",England,"[-2.04409, 50.96142 ]",Reserve,2019,{},http://www.ccwwdaonb.org.uk/,,50000
Exmoor National Park,,Somerset and Devon,England,"[ -3.6, 51.1 ]",Reserve,2011,{},https://www.exmoor-nationalpark.gov.uk/enjoying/stargazing,,50000
Kerry,,County Kerry,Ireland,"[-10.205847, 51.951817 ]",Reserve,2014,{},http://kerrydarksky.com/,,50000
Mont-Mégantic National Park,,Quebec,Canada,"[ -71.1625, 45.456944 ]",Reserve,2007,{},http://ricemm.org/en/,,50000
Moore’s Reserve,,South Downs,England,"[ -0.367, 50.911 ]",Reserve,2011,{},https://www.southdowns.gov.uk/,,50000
NamibRand Nature Reserve,,Namib Desert,Namibia,"[ 16, -25 ]",Reserve,2012,{},http://www.namibrand.com/,,50000
Pic du Midi,,Hautes-Pyrénées,France,"[ 0.142778, 42.936389]",Reserve,2013,{},https://picdumidi.com/,,50000
Rhön,,Gersfeld,Germany,"[9.9442, 50.4979 ]",Reserve,2014,{},https://biosphaerenreservat-rhoen.de/sternenpark,,50000
River Murray,Cambrai,South Australia,Australia,"[ 139.4466, -34.3761 ]",Reserve,2019,{},https://www.rivermurraydarkskyreserve.org/,,50000
Snowdonia National Park,,Snowdonia,Wales,"[ -3.85, 52.9 ]",Reserve,2015,{},https://www.snowdonia.gov.wales/visiting/things-to-do/astrophotography,,50000
Westhavelland,,Westhavelland,Germany,"[ 12.4253, 52.7006]",Reserve,2014,{},https://www.sternenpark-westhavelland.de/,,50000
!Ae!Hai Kalahari Heritage Park,,,South Africa,"[ 20.383333, -25.766667]",Sanctuary,2019,{},https://www.xauslodge.co.za/,,50000
Aotea / Great Barrier Island,,Great Barrier Island,New Zealand,"[175.416667, -36.2 ]",Sanctuary,2017,{},https://www.greatbarrier.co.nz/,,50000
Devils River State Natural Area – Del Norte Unit,Val Verde County,Texas,United States,"[ -100.970328, 29.923011 ]",Sanctuary,2019,{},https://tpwd.texas.gov/state-parks/devils-river/dark-skies,,50000
Gabriela Mistral Sanctuary,,Elqui Valley,Chile,"[ -70.80639, -30.16972]",Sanctuary,2015,{},http://www.aura-o.aura-astronomy.org/aura/,,50000
Massacre Rim WSA Dark Sky Sanctuary,Washoe County,Nevada,United States,"[-119.68,  40.63]",Sanctuary,2019,{},https://www.nevadawilderness.org/massacre_rim_wsa_dark_sky_sanctuary,,50000
Pitcairn Islands,,,Pitcairn Islands,"[-130.1, -25.066667 ]",Sanctuary,2019,{},http://www.visitpitcairn.pn/dark_sky/index.html,,50000
Rainbow Bridge National Monument,San Juan County,Utah,United States,"[ -110.964167, 37.077222]",Sanctuary,2018,{},https://www.nps.gov/rabr/index.htm,,50000
Stewart Island / Rakiura,,Foveaux Strait,New Zealand,"[ 167.84, -47 ]",Sanctuary,2019,{},https://www.stewartisland.co.nz/,,50000
The Jump-Up / Age of Dinsoaurs,Winton,Queensland,Australia,"[143.1827,  -22.4791]",Sanctuary,2019,{},https://www.australianageofdinosaurs.com/,,50000
Salar de Uyuni,,"Daniel Campos Province, Potosi",Bolivia,"[-67.489133,  -20.133775]",N/A,,{},https://www.rutaverdebolivia.com/tour/uyuni-stargazing-tour/,,50000
Atacama Desert,,,Chile,"[-69.25,  -24.5]",N/A,,{},https://www.atacamadesertstargazing.com/#!/-home/,,50000
Erg Chebbi,Merzouga,,Morocco,"[ -3.983333, 31.166667]",N/A,,{},https://www.moroccodesertstargazing.com/,,50000
Erg Chigaga,,,Morocco,"[-6.25, 29.8278 ]",N/A,,{},https://www.desertcampmorocco.com/,,50000
Caye Caulker,Caye Caulker Village,,Belize,"[-88.025, 17.7425 ]",N/A,,{},https://www.gocayecaulker.com/,,50000
Guanacaste Province,,Guanacaste Province,Costa Rica,"[-85.4, 10.433333 ]",N/A,,{},https://www.guachipelin.com/blog/en/stargazing-in-guanacaste-costa-rica/,,50000
Wadi Rum,,,Jordan,"[35.42, 29.593056 ]",N/A,,{},https://www.rum-sky.com/,,50000
Gunung Bromo,,,Indonesia,"[112.95, -7.941667 ]",N/A,,{},https://www.indonesia.travel/de/en/destinations/java/bromo-tengger-semeru-national-park/mount-bromo,,50000
Sequoia Parks Conservancy Dark Sky Festival,Three Rivers,California,United States,"[ -118.8249169, 36.4911725]",Festival,,{},https://www.sequoiaparksconservancy.org/darkskyfestival.html,,50000
Lassen Volcanic Dark Sky Festival,Drakesbad,California,United States,"[ -121.4206552, 40.49766 ]",Festival,,{},https://www.nps.gov/lavo/planyourvisit/dark-sky.htm,,50000
Cook County Dark Sky Festival,Grand Marais,Minnesota,United States,"[-90.3749393, 47.7597831 ]",Festival,,{},https://www.visitcookcounty.com/event/dark-sky-festival/,,50000
Jasper Dark Sky Festival,Jasper,Alberta,Canada,"[ -117.9542938, 52.873383]",Festival,,{},https://jasperdarksky.travel/,,50000
Sangre Dark Sky Festival,Westcliffe,Colorado,United States,"[-105.4856431, 38.1292427 ]",Festival,,{},https://www.darkskiescolorado.org/,,50000
Acadia Dark Sky Festival,Bar Harbor,Maine,United States,"[-68.410375, 44.3583123 ]",Festival,,{},http://www.acadianightskyfestival.org/,,50000
South Downs Dark Sky Festival,Midhurst,West Sussex,United Kingdom,"[-0.367, 50.911 ]",Festival,,{},https://www.southdowns.gov.uk/enjoy/events/south-downs-dark-skies-festival-2020/,,50000
North York Moors and Yorkshire Dales Dark Sky Festival,"The Old Vicarage, Bondgate, Helmsley, York",North Yorkshire,United Kingdom,"[ -0.892714, 54.38716]",Festival,,{},https://www.northyorkmoors.org.uk/visiting/whats-on/dark-skies-festival,,50000
Exmoor Dark Skies Festival,Dulverton,Somerset,United Kingdom,"[ -3.552937, 51.040565]",Festival,,{},https://www.exmoor-nationalpark.gov.uk/enjoying/stargazing/dark-skies-festival,,50000
Mayo Dark Sky Park,Ballycroy Village,County Mayo ,Ireland,"[ -9.8233278, 54.0244585]",Park,,{},http://www.mayodarkskypark.ie/,,50000
Joshua Tree Dark Sky Festival,Twentynine Palms,California,United States,"[ -116.2248103, 34.1646533 ]",Festival,,{},https://www.skysthelimit29.org/night-sky-festival.html,,50000
Thebacha & Wood Buffalo Dark Festival,Fort Smith,Northwest Territory,Canada,"[-112.8764021, 59.4395031 ]",Festival,,{},https://www.tawbas.ca/dark-sky-festival.html,,50000
East Sierra Dark Sky Festival,Mammoth Lakes,California,United States,"[-119.0880253, 37.6197082 ]",Festival,,{},https://www.easternsierraobservatory.com/eastern-sierra-dark-sky-festival,,50000
Qaleraliq Glacier camp/Tasiusaq Hostel,,,Greenland,"[-44.819722, 60.193056 ]",N/A,,{},https://visitgreenland.com/about-greenland/northern-lights/,,50000
